country_id,year,err_float,is_switch_year,provisional,note
GBR,2020,1,0,0,
GBR,2021,1,0,0,
GBR,2022,1,0,0,
GBR,2023,1,0,0,
GBR,2024,1,0,1,
GBR,2025,1,0,1,
GHA,2019,1,0,0,
GHA,2020,0,1,0,-> managed Apr-2020 (COVID/BoP)
GHA,2021,0,0,0,
GHA,2022,0,0,0,
GHA,2023,0,0,0,
GHA,2024,0,0,1,
GHA,2025,0,0,1,
GRC,2019,1,0,0,
GRC,2020,1,0,0,
GRC,2021,1,0,0,
GRC,2022,1,0,0,
GRC,2023,1,0,0,
GRC,2024,1,0,1,
GRC,2025,1,0,1,
HKG,2019,0,0,0,
HKG,2020,0,0,0,
HKG,2021,0,0,0,
HKG,2022,0,0,0,
HKG,2023,0,0,0,
HKG,2024,0,0,1,
HKG,2025,0,0,1,
HRV,2019,0,0,0,
HRV,2020,0,0,0,
HRV,2021,0,0,0,
HRV,2022,0,0,0,
HRV,2023,1,1,0,-> Free Floating 2023 (euro adoption 1 Jan 2023; AREAER)
HRV,2024,1,0,1,
HRV,2025,1,0,1,
HUN,2019,1,0,0,
HUN,2020,1,0,0,
HUN,2021,1,0,0,
HUN,2022,1,0,0,
HUN,2023,1,0,0,
HUN,2024,1,0,1,
HUN,2025,1,0,1,
IDN,2019,1,0,0,
IDN,2020,1,0,0,
IDN,2021,1,0,0,
IDN,2022,1,0,0,
IDN,2023,1,0,0,
IDN,2024,1,0,1,
IDN,2025,1,0,1,
IND,2019,1,0,0,
IND,2020,1,0,0,
IND,2021,1,0,0,
IND,2022,1,0,0,
IND,2023,1,0,0,
IND,2024,1,0,1,
IND,2025,1,0,1,
IRL,2019,1,0,0,
IRL,2020,1,0,0,
IRL,2021,1,0,0,
IRL,2022,1,0,0,
IRL,2023,1,0,0,
IRL,2024,1,0,1,
IRL,2025,1,0,1,
ISL,2019,1,0,0,
ISL,2020,1,0,0,
ISL,2021,1,0,0,
ISL,2022,1,0,0,
ISL,2023,1,0,0,
ISL,2024,1,0,1,
ISL,2025,1,0,1,
ITA,2019,1,0,0,
ITA,2020,1,0,0,
ITA,2021,1,0,0,
ITA,2022,1,0,0,
ITA,2023,1,0,0,
ITA,2024,1,0,1,
