Country,ISO Code,Exchange Rate Regime
St. Kitts and Nevis,KNA,Currency Board Arrangement
St. Lucia,LCA,Currency Board Arrangement
St. Vincent and the Grenadines,VCT,Currency Board Arrangement
Sudan,SDN,Stabilized Arrangement
Suriname,SUR,Stabilized Arrangement
Sweden,SWE,Free Floating
Switzerland,CHE,Crawl-like Arrangement
Syria,SYR,Other Managed Arrangement
Tajikistan,TJK,Stabilized Arrangement
Tanzania,TZA,Stabilized Arrangement
Thailand,THA,Floating
Timor-Leste,TLS,No Separate Legal Tender
Togo,TGO,Conventional Pegged Arrangement
Tonga,TON,Other Managed Arrangement
Trinidad and Tobago,TTO,Stabilized Arrangement
Tunisia,TUN,Crawl-like Arrangement
Turkey,TUR,Floating
Turkmenistan,TKM,Conventional Pegged Arrangement
Tuvalu,TUV,No Separate Legal Tender
Uganda,UGA,Floating
Ukraine,UKR,Floating
United Arab Emirates,ARE,Conventional Pegged Arrangement
United Kingdom,GBR,Free Floating
United States,USA,Free Floating
Uruguay,URY,Floating
Uzbekistan,UZB,Crawl-like Arrangement
Vanuatu,VUT,Other Managed Arrangement
Venezuela,VEN,Other Managed Arrangement
Vietnam,VNM,Crawl-like Arrangement
Yemen,YEM,Floating
Zambia,ZMB,Crawl-like Arrangement
Zimbabwe,ZWE,Other Managed Arrangement
